name,latitude,longitude,is_closed,zipcode,city,state,price,rating,url,review_count,transactions,category,id
ChurchKey,38.9084128488013,-77.0318697756855,False,20005,"Washington, DC",DC,$$,4.0,https://www.yelp.com/biz/churchkey-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,1353,[],"newamerican,lounges",si_pqK5Ogi5MZdO-aN_gXw
Baan Thai,38.9081481,-77.032355,False,20005,"Washington, DC",DC,$$,4.0,https://www.yelp.com/biz/baan-thai-washington-3?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,516,"['delivery', 'pickup']","sushi,thai,cocktailbars",nSy1NGmZqxCk7El17eEtJA
Birch & Barley,38.90849,-77.03161,False,20005,"Washington, DC",DC,$$$,4.0,https://www.yelp.com/biz/birch-and-barley-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,1035,[],"newamerican,breakfast_brunch",j825_HsjCyUQmbBt0lQuHQ
B Too,38.9080994,-77.0321397,False,20005,"Washington, DC",DC,$$,3.5,https://www.yelp.com/biz/b-too-washington-2?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,742,[],"belgian,beerbar",2VbkvMdUaKuyIGU4LbYfHQ
The Pig,38.90793,-77.03229,False,20005,"Washington, DC",DC,$$,4.0,https://www.yelp.com/biz/the-pig-washington-2?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,1545,[],"tradamerican,cocktailbars",B-NQjTjaIPURVtpUQe0-3w
Daily Grill,38.90598,-77.0421,False,20036,"Washington, DC",DC,$$,3.0,https://www.yelp.com/biz/daily-grill-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,385,"['delivery', 'pickup']","tradamerican,breakfast_brunch,cocktailbars",9wUKxLh8ob8kLND5VE3YyA
Nanny O'Brien's Irish Pub,38.934101,-77.057195,False,20008,"Washington, DC",DC,$$,3.5,https://www.yelp.com/biz/nanny-o-briens-irish-pub-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,177,[],"pubs,musicvenues,irish",85SDLXUYdPypERi1DVOZQA
Grillfish DC,38.9057085655327,-77.0477194018524,False,20036,"Washington, DC",DC,$$,4.0,https://www.yelp.com/biz/grillfish-dc-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,649,"['pickup', 'delivery']","seafood,breakfast_brunch,tradamerican",z-0HVe5rSr3v2_EG127YjA
Vapiano M Street,38.90509,-77.04218,False,20036,"Washington, DC",DC,$$,3.5,https://www.yelp.com/biz/vapiano-m-street-washington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,585,"['pickup', 'delivery']","italian,pizza,bars",ht-N20OX3lv7cv-3o3L1MA
Mari Vanna DC,38.90518,-77.04046,False,20036,"Washington, DC",DC,$$$,4.0,https://www.yelp.com/biz/mari-vanna-dc-washington-2?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,452,[],"russian,modern_european,karaoke",FPj_bKBAu9ckQkBtHMPKow
