name,latitude,longitude,is_closed,zipcode,city,state,price,rating,url,review_count,transactions,category,id
Tryst,42.4162307744037,-71.1553018387667,False,02476,Arlington,MA,$$,3.5,https://www.yelp.com/biz/tryst-arlington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,275,[],newamerican,8XH25e94Tf8UNzSr-OWHeQ
Applebee's Grill + Bar,42.326073,-71.063107,False,02125,Dorchester,MA,$$,2.5,https://www.yelp.com/biz/applebees-grill-bar-dorchester?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,132,[],"sportsbars,burgers,tradamerican",eqr5t-Py3oOhIuukz27dEA
Scutra Restaurant,42.4190222471952,-71.1577854305506,False,02474,Arlington,MA,$$$,3.5,https://www.yelp.com/biz/scutra-restaurant-arlington?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,178,['restaurant_reservation'],"modern_european,newamerican,seafood",TbidSY0CNknTW1WEqK33WA
Demo's,42.381458,-71.236906,False,02452,Waltham,MA,$,3.0,https://www.yelp.com/biz/demos-waltham?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,73,['delivery'],"greek,mediterranean",Of0s9Bp9sxRIrfS6_WsuXw
Chateau Restaurant,42.3783249,-71.239395,False,02451,Waltham,MA,$$,3.0,https://www.yelp.com/biz/chateau-restaurant-waltham?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,244,"['delivery', 'pickup']",italian,IGbKO5xKMZrTsPtmDYaLwQ
Sofia Italian Steakhouse,42.270801,-71.17173,False,02132,West Roxbury,MA,$$$,4.0,https://www.yelp.com/biz/sofia-italian-steakhouse-west-roxbury-2?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,234,[],"steak,italian",nlZghMJ6hcu_b7gzwzYdxQ
Fuji Steak House,42.2819103,-71.2359151,False,02492,Needham,MA,$$,3.0,https://www.yelp.com/biz/fuji-steak-house-needham?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,125,"['delivery', 'pickup']","japanese,steak,sushi",frTp4FF8-pxlAUREcMpStA
Dedham Square Coffeehouse,42.2481431,-71.1726205,False,02026,Dedham,MA,$,3.5,https://www.yelp.com/biz/dedham-square-coffeehouse-dedham?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,55,[],"coffee,bars,internetcafe",zSP2I7sQR3rWQUdo4LBNVQ
Rincon Caribeno Restaurant,42.2556133568287,-71.1209050565958,False,02136,Hyde Park,MA,$$,3.5,https://www.yelp.com/biz/rincon-caribeno-restaurant-hyde-park?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,57,"['pickup', 'delivery']","cocktailbars,dominican,latin",l7iATT41a30rJDp5U_EmQg
Fairmount Grille,42.2545537,-71.1202539,False,02136,Hyde Park,MA,$$,4.0,https://www.yelp.com/biz/the-fairmount-grille-hyde-park?adjust_creative=1oh4LhpLWuJDqe_L_DZdyw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=1oh4LhpLWuJDqe_L_DZdyw,153,"['pickup', 'delivery']","newamerican,tradamerican,bars",OwpCK2Krj4qxvsA5672HOQ
