yelp_id,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,taxi_stand,train_station
NRYEiz_iCGl6_4rYpyBmew,5.0,1.0,12.0,,2.0,3.0,16.0,,,,,,,,,,
NaGx_QMxnGQLutBxfHgneg,43.0,15.0,60.0,10.0,2.0,60.0,48.0,,14.0,3.0,21.0,20.0,7.0,2.0,,,
O1v7Pa-sMVsnn1L0RPT-nw,6.0,,12.0,11.0,2.0,6.0,3.0,1.0,2.0,,,3.0,1.0,,,,
O9JAJYrDNLJlDxoRzh7hbw,17.0,3.0,10.0,36.0,1.0,27.0,3.0,5.0,1.0,,,2.0,4.0,1.0,,,
O_BiEL4iRXzdTrxO7wh_Ig,4.0,2.0,,4.0,1.0,12.0,1.0,,2.0,,1.0,3.0,,,,,
OszIRBHUSV7gWfqpsQhBnA,,,1.0,,,1.0,1.0,,,,,,,,,,
PFs8ZJTRTfjp04PvVoShMg,19.0,11.0,12.0,10.0,,18.0,13.0,,8.0,1.0,,11.0,2.0,1.0,1.0,,
PKdL_ix6Gm2b8fSqI76E3g,20.0,2.0,23.0,29.0,5.0,19.0,14.0,2.0,8.0,1.0,1.0,13.0,,1.0,3.0,,
PRNqoTMjNt24xD8U_1Aixg,38.0,26.0,17.0,31.0,3.0,23.0,18.0,1.0,20.0,1.0,,14.0,9.0,1.0,1.0,,
PqCJCmRy0Cehq_cOrLoGFg,1.0,,1.0,,,,2.0,,1.0,,,1.0,,,,,
PsvqiLNCIlpJ7m421Ao15Q,4.0,1.0,6.0,,1.0,8.0,5.0,1.0,3.0,2.0,2.0,10.0,3.0,,2.0,,
PvRz-sn6GHaEvhmx_XcqMA,21.0,7.0,54.0,27.0,3.0,21.0,17.0,,12.0,,1.0,10.0,,,2.0,,
QKIH0ALmEGsRuFRDRRn9oQ,11.0,4.0,7.0,15.0,,11.0,5.0,3.0,4.0,,1.0,3.0,,,,,
Qb96SguwIDqRqSBcKHVBsQ,10.0,1.0,12.0,,4.0,5.0,6.0,,,,,,,,,,
QeU1GDOAcpOeQGXGOf4ntw,12.0,1.0,29.0,6.0,,31.0,2.0,5.0,3.0,,1.0,7.0,1.0,,1.0,,
QvE4VfVU_0IrlKwz7UwRdg,60.0,40.0,55.0,38.0,2.0,39.0,41.0,,17.0,1.0,16.0,55.0,6.0,2.0,,,
R9dPfBI1bY7Pqyr9wkLrBA,2.0,,,2.0,,,1.0,1.0,,,,,,,,,
RTUt3chdSkv-ZDT3fgaMNQ,5.0,2.0,,6.0,1.0,14.0,5.0,1.0,1.0,,,1.0,,,,,
RqxusFi2wsbF7O-77giV-Q,22.0,11.0,22.0,16.0,3.0,31.0,12.0,,7.0,2.0,5.0,27.0,,,,,
S1D6n5U0gcegIAT59jgyHA,8.0,1.0,2.0,8.0,1.0,8.0,4.0,3.0,2.0,,,1.0,1.0,,1.0,,
S1MZUJ8MKb1zrjHRWJb-Hw,11.0,4.0,1.0,8.0,,16.0,4.0,5.0,2.0,,,3.0,1.0,,1.0,,
S6kaRKSBXPGW7kwlYG6XsQ,8.0,2.0,9.0,14.0,3.0,17.0,8.0,2.0,2.0,2.0,1.0,4.0,,,1.0,,
SIkF5IPv5FpISFRKR5VnIw,10.0,2.0,6.0,7.0,,14.0,5.0,2.0,10.0,,,17.0,3.0,1.0,1.0,,
SKBrtmQeCyerKD32_rIwaA,6.0,2.0,1.0,8.0,,11.0,4.0,2.0,4.0,,,2.0,1.0,,1.0,,
