yelp_id,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,train_station
Nf7y336Y0VwcWis3PO-Otg,22.0,1.0,16.0,3.0,,13.0,21.0,,3.0,,12.0,6.0,6.0,,,
NuPKl9HvpYSr1g5hYBAQKA,34.0,35.0,14.0,26.0,1.0,18.0,24.0,,9.0,1.0,2.0,11.0,10.0,,,
NvTGTMkGvkODIqOlCseF3g,14.0,13.0,37.0,25.0,6.0,11.0,24.0,1.0,11.0,2.0,1.0,9.0,2.0,,,
O1v7Pa-sMVsnn1L0RPT-nw,6.0,,12.0,11.0,2.0,6.0,3.0,1.0,2.0,,,3.0,1.0,,,
O2y-CyIsJz8f_6f-MJuKIA,41.0,9.0,42.0,16.0,5.0,54.0,46.0,1.0,3.0,4.0,5.0,29.0,2.0,,,
OFLNt6Zcis68TlujtZM-Gw,22.0,5.0,48.0,22.0,5.0,14.0,25.0,,20.0,2.0,5.0,22.0,,,,
OeTD5HlXMjrmztfu02niQQ,11.0,6.0,8.0,32.0,2.0,22.0,5.0,3.0,4.0,1.0,,8.0,,1.0,,
OoNhXN0PzwIyrqG9dF6t2Q,12.0,4.0,7.0,11.0,1.0,13.0,4.0,4.0,,,,1.0,,,,1.0
OpBTLNaGnGcn8DRsLcEfQQ,60.0,23.0,60.0,46.0,7.0,60.0,41.0,,8.0,2.0,5.0,19.0,2.0,,7.0,
OrDvpwx5GWpJWkWpn_dyQQ,9.0,6.0,2.0,3.0,1.0,15.0,7.0,2.0,3.0,,,3.0,,,1.0,
PFk6k_hEGG0n6_FAJSm9EQ,30.0,9.0,33.0,49.0,4.0,36.0,27.0,3.0,11.0,3.0,1.0,9.0,5.0,,2.0,
PLx_VnZyFmxTS1zNTaDJxA,20.0,10.0,45.0,11.0,1.0,26.0,32.0,2.0,17.0,,2.0,9.0,2.0,,1.0,1.0
PTFxtXS47ZVRCdZIrEWvGw,60.0,23.0,60.0,47.0,7.0,59.0,33.0,,8.0,2.0,5.0,19.0,2.0,,7.0,
PVtTQwD7c4pbRPaVK7h3cw,13.0,5.0,35.0,7.0,1.0,14.0,21.0,1.0,18.0,1.0,4.0,6.0,2.0,,,
PaDFuHlHrFRd0g2ki2DevA,43.0,4.0,60.0,49.0,7.0,48.0,52.0,,10.0,8.0,7.0,35.0,18.0,1.0,6.0,
PkI2z4M1SgPkgVOMuHtuCg,60.0,54.0,60.0,45.0,16.0,49.0,60.0,1.0,8.0,2.0,8.0,21.0,15.0,,3.0,1.0
PoAS5PsaEBX5OvzfvHj-2A,55.0,17.0,60.0,35.0,5.0,55.0,29.0,,8.0,1.0,5.0,14.0,2.0,,3.0,
PqCJCmRy0Cehq_cOrLoGFg,1.0,,1.0,,,,2.0,,1.0,,,1.0,,,,
PqeHQAMWUWzyL8qsmHltoQ,60.0,14.0,60.0,60.0,8.0,50.0,60.0,,23.0,6.0,10.0,33.0,28.0,1.0,3.0,
PsY5DMHxa5iNX_nX0T-qPA,60.0,55.0,51.0,40.0,4.0,40.0,59.0,,24.0,1.0,4.0,32.0,5.0,,2.0,
PzFJNls55DcBsWJOU2O0BQ,34.0,27.0,34.0,47.0,2.0,14.0,32.0,,14.0,2.0,3.0,9.0,12.0,,,
Q3WVLBpfaF9avnq1fFQ51g,30.0,9.0,35.0,40.0,4.0,39.0,25.0,3.0,14.0,2.0,1.0,12.0,5.0,,2.0,
QH8WwAYdr3NrH2QwHiPjog,21.0,6.0,48.0,33.0,6.0,15.0,22.0,3.0,29.0,3.0,4.0,27.0,,,,
QINiEjMRGA7pKfvhPQtfBg,26.0,6.0,45.0,60.0,3.0,31.0,13.0,1.0,24.0,2.0,,9.0,1.0,,1.0,
QKIH0ALmEGsRuFRDRRn9oQ,11.0,4.0,7.0,15.0,,11.0,5.0,3.0,4.0,,1.0,3.0,,,,
QNp4QCGLcZleShFRCt8xgw,6.0,,1.0,5.0,2.0,13.0,6.0,3.0,1.0,,,5.0,,,,
QUY4w7wjVelogqoFonCq_A,3.0,,3.0,,1.0,18.0,8.0,,3.0,,,11.0,,,,
QZQGRJZ4bZCmNoXjs3z1XQ,24.0,7.0,33.0,36.0,3.0,31.0,21.0,,10.0,2.0,1.0,10.0,4.0,,1.0,
Q_xYu-RqixW4O-TlEbc1fA,40.0,20.0,60.0,54.0,11.0,31.0,60.0,1.0,14.0,3.0,4.0,17.0,11.0,,3.0,1.0
Qbr2JG96K6d31NqqAUxf9g,15.0,13.0,22.0,12.0,4.0,15.0,32.0,,10.0,1.0,2.0,5.0,4.0,,2.0,
QeeiVw_OjxWmTiSH0A6qgA,10.0,3.0,9.0,9.0,2.0,20.0,7.0,,2.0,,,10.0,,,,
QhXJqmPoR6jyCf44ck7Sxg,60.0,26.0,60.0,60.0,8.0,44.0,60.0,,36.0,8.0,10.0,34.0,29.0,2.0,2.0,
Qo-l9tezF_ApTFzUhnPK1w,12.0,6.0,21.0,6.0,1.0,14.0,37.0,,12.0,,6.0,8.0,1.0,,,
QxHtdBOe3Kppf8tEd2Wm6A,60.0,60.0,60.0,60.0,10.0,60.0,60.0,,18.0,2.0,17.0,41.0,4.0,,8.0,
R7RFX9IlMgNftKT0f9uudQ,1.0,,4.0,7.0,,8.0,6.0,,7.0,,,3.0,,,1.0,
Rh4NhLtNdlOcQnc-iCRJOQ,24.0,4.0,39.0,6.0,1.0,28.0,28.0,1.0,11.0,1.0,1.0,29.0,6.0,,1.0,
RhDJVnbHJXpB64dC9QcoqQ,3.0,1.0,2.0,14.0,,20.0,,1.0,1.0,,,9.0,,,,
RqxusFi2wsbF7O-77giV-Q,22.0,11.0,22.0,16.0,3.0,31.0,12.0,,7.0,2.0,5.0,27.0,,,,
S1D6n5U0gcegIAT59jgyHA,8.0,1.0,2.0,8.0,1.0,8.0,4.0,3.0,2.0,,,1.0,1.0,,1.0,
S6kaRKSBXPGW7kwlYG6XsQ,8.0,2.0,9.0,14.0,3.0,17.0,8.0,2.0,2.0,2.0,1.0,4.0,,,1.0,
S6yq--21j7fFadh-aXBtRQ,5.0,2.0,15.0,2.0,,8.0,10.0,,3.0,1.0,3.0,4.0,2.0,,,
SEuHSFDOoux4MqusTQPNMw,60.0,18.0,60.0,60.0,8.0,44.0,60.0,,21.0,8.0,11.0,33.0,30.0,1.0,3.0,
SIlvau33Tsp5IuEEmGf46A,15.0,1.0,26.0,48.0,3.0,40.0,11.0,,11.0,,3.0,13.0,1.0,,,
SePMUEGjcXpKfS7bJ1yO4Q,19.0,16.0,18.0,53.0,1.0,11.0,14.0,,12.0,,1.0,5.0,1.0,,,
SgWS1huKOS9pewAR1QMlLg,,,,,,,1.0,,,,,,,,,
ShLvbrlY9qlJOwhkRINYOQ,27.0,12.0,47.0,18.0,9.0,45.0,46.0,,8.0,1.0,8.0,7.0,2.0,,1.0,1.0
So7af6aqR9of7jnoHUci-g,13.0,8.0,2.0,7.0,,13.0,4.0,1.0,2.0,,,5.0,2.0,,1.0,
Sw39QeTPqK289bMOniYefQ,34.0,37.0,14.0,26.0,1.0,19.0,24.0,,10.0,1.0,1.0,12.0,11.0,,,
T2rwEQ48yjxLlXJ6uzdmzQ,23.0,1.0,35.0,3.0,,28.0,22.0,2.0,7.0,,1.0,26.0,1.0,,1.0,
