yelp_id,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,train_station
_RkG6ao09nTYczVfLG-Zrw,49.0,6.0,60.0,60.0,7.0,39.0,54.0,2.0,13.0,8.0,8.0,32.0,20.0,1.0,6.0,
_ZC_Zvq5DqaPVXIqFzPkBQ,57.0,10.0,60.0,60.0,3.0,44.0,60.0,,12.0,1.0,8.0,20.0,7.0,,,
_az0NrGR-v9P-xtKoE45CA,9.0,9.0,3.0,9.0,2.0,16.0,4.0,3.0,1.0,,,8.0,,,,
_jtyQNVoTL5Q5q2Td9jUcQ,18.0,7.0,2.0,3.0,,12.0,8.0,4.0,1.0,,,2.0,4.0,,,
_mdxYZT1RDtKTZcYz9mo8g,60.0,60.0,60.0,60.0,14.0,60.0,60.0,,35.0,3.0,16.0,51.0,9.0,,8.0,
_zfxJqH3XZ65X8sNYVKGqg,30.0,9.0,35.0,41.0,3.0,31.0,24.0,3.0,14.0,3.0,1.0,12.0,5.0,,2.0,
aDM5I7syc0LR49nf7pLIXQ,60.0,60.0,60.0,60.0,11.0,56.0,60.0,,34.0,3.0,15.0,39.0,6.0,,10.0,
aG0R24iGkSdQARo_9h_NOA,21.0,8.0,11.0,22.0,1.0,27.0,7.0,1.0,8.0,,1.0,11.0,,,,
aK_4VuHnDlanajeTI77qqQ,54.0,10.0,60.0,60.0,3.0,40.0,56.0,,12.0,1.0,8.0,21.0,14.0,,,
aSeldMKv9G6_8-gV0bjwvw,60.0,19.0,60.0,60.0,6.0,49.0,60.0,,26.0,6.0,10.0,34.0,30.0,1.0,3.0,
aUfbSFtjmDWQcqdXg8oeZQ,30.0,24.0,26.0,14.0,3.0,31.0,37.0,,10.0,,3.0,15.0,5.0,2.0,1.0,
aUjc_iwTfSR0ZtHCp3IuZA,5.0,5.0,,16.0,1.0,28.0,2.0,,4.0,,,16.0,1.0,,,
