yelp_id,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,taxi_stand,train_station
CKQmnahGJhVQAbNwNmdP2g,4.0,1.0,2.0,,,17.0,,3.0,,,,5.0,,,,,
CKzqUwRmUMNJqaVu-zUB4A,12.0,4.0,3.0,13.0,,25.0,1.0,6.0,1.0,,,8.0,,,1.0,,
CQZ6_kzHB2MVSI7cIzZEFQ,44.0,17.0,37.0,60.0,13.0,35.0,29.0,,27.0,1.0,11.0,47.0,3.0,3.0,6.0,,
CRSbFkcdlq6TwE5FkXKxfw,8.0,2.0,2.0,9.0,,11.0,3.0,2.0,12.0,1.0,,3.0,,,,,
CTvHlHQ4jzRO8gkkl4O8zQ,2.0,,3.0,4.0,1.0,12.0,1.0,,1.0,,,3.0,,,1.0,,
CWl-eedNeE6tEPNTz52nZA,36.0,13.0,60.0,60.0,19.0,29.0,60.0,1.0,60.0,2.0,20.0,36.0,21.0,5.0,2.0,,
CZg05roVBkzu1QzxTHfkPw,8.0,10.0,22.0,33.0,1.0,11.0,7.0,4.0,7.0,,,16.0,,,,,1.0
CaizM2WaGPX5eRLDOJaqIw,32.0,9.0,21.0,43.0,1.0,28.0,26.0,,11.0,3.0,4.0,36.0,2.0,,1.0,,
Cb2DGjhBZXPx5xeTdFOrXg,2.0,,,6.0,,13.0,1.0,1.0,2.0,,,3.0,,,,,
CfFfmyLid2ARJiMIco0YvA,26.0,11.0,10.0,43.0,1.0,27.0,13.0,,8.0,,,19.0,,1.0,3.0,,
CfFjKWynWAFLO9mUTxe4Zg,22.0,6.0,60.0,28.0,6.0,25.0,36.0,,18.0,,3.0,40.0,1.0,1.0,2.0,,1.0
CfOBb6NU2awo8xclJpKU3g,27.0,11.0,28.0,24.0,2.0,26.0,16.0,,15.0,,1.0,37.0,1.0,2.0,5.0,2.0,
CfWe636m2CAUg4FAdl_zVQ,41.0,5.0,12.0,50.0,1.0,27.0,10.0,1.0,8.0,1.0,1.0,40.0,2.0,1.0,5.0,,
Cgwaz0qkneHh-Gki1vxQfw,12.0,3.0,4.0,6.0,,2.0,1.0,3.0,2.0,,,3.0,,,2.0,,
CqQ2Og9kf-LhlUWtODalCQ,60.0,26.0,60.0,60.0,11.0,42.0,54.0,,45.0,4.0,9.0,60.0,5.0,3.0,6.0,,
CseCPJgmN-DPKZNJk_9gTA,15.0,6.0,1.0,25.0,2.0,23.0,7.0,,4.0,,,7.0,,,,,
D1jp3pfGvyYyaXBN8iJRBg,18.0,,10.0,16.0,,10.0,7.0,4.0,6.0,,,18.0,,1.0,2.0,,
D3UNlDZDjdJtWR3j_b4JXw,60.0,60.0,60.0,60.0,17.0,60.0,60.0,,49.0,21.0,19.0,60.0,31.0,9.0,7.0,,
D4spXIMXev6pFUz3df31fQ,12.0,4.0,4.0,9.0,1.0,5.0,2.0,2.0,3.0,,,,2.0,,3.0,,
D7w3Nk3H0oDYZSIAaRgYRA,30.0,5.0,11.0,43.0,3.0,26.0,8.0,,6.0,,,52.0,2.0,1.0,2.0,,
D9nQb14gqhCAOaUUvJz3-Q,60.0,60.0,60.0,59.0,6.0,56.0,60.0,,33.0,,16.0,60.0,6.0,10.0,3.0,,
DC58K8Z_piVm7iAK0ZI_tQ,60.0,60.0,60.0,60.0,6.0,53.0,60.0,,35.0,,16.0,60.0,6.0,9.0,4.0,,
DCiEo7qucPaEj7Gtdj1U9A,21.0,10.0,21.0,60.0,15.0,26.0,19.0,,16.0,,13.0,37.0,2.0,1.0,4.0,,
DD-hzjrGrWQiymt0Ws751w,60.0,45.0,60.0,60.0,15.0,21.0,60.0,,32.0,4.0,16.0,54.0,23.0,5.0,11.0,,
DEBtWelTYeMA3dAaq8YhVA,12.0,3.0,11.0,13.0,1.0,6.0,2.0,3.0,5.0,,2.0,6.0,,,,,1.0
DEHWHskp2gSAkfdylc4SNA,25.0,3.0,12.0,60.0,2.0,43.0,7.0,,9.0,1.0,3.0,43.0,,1.0,8.0,,
DF7PV0DE9z0LM4ae6XYeYg,60.0,60.0,60.0,60.0,9.0,50.0,60.0,,36.0,1.0,7.0,60.0,14.0,7.0,6.0,,
DNtXVS0xYn0n8Cscmj9JSg,16.0,4.0,9.0,2.0,1.0,26.0,1.0,2.0,,1.0,,1.0,,,,,
DQoulVToSZ4nrfcUJYLs6A,5.0,3.0,13.0,11.0,2.0,3.0,5.0,1.0,8.0,2.0,,6.0,6.0,,,,
DRBx2Kyo9lzDlsggp-ENqA,9.0,5.0,1.0,11.0,,10.0,1.0,5.0,2.0,,,2.0,1.0,,1.0,,
DTKKEogIt2wQm4UULYVGug,60.0,60.0,59.0,39.0,5.0,43.0,60.0,,27.0,,11.0,60.0,6.0,7.0,2.0,,
DVSm03qNU7zE1mv1QSKnsA,23.0,7.0,9.0,58.0,1.0,34.0,6.0,,4.0,,,20.0,2.0,1.0,4.0,,
DW9oYkW55nuHZ7UsrZPtww,3.0,2.0,11.0,9.0,1.0,10.0,3.0,,6.0,1.0,,1.0,,,1.0,,
DZ4MxEExlQzbx1J2OrAT8A,8.0,4.0,2.0,5.0,1.0,8.0,3.0,3.0,3.0,,,3.0,,,1.0,,1.0
DZE4ThXa7d0kSXnR3Hb-kg,60.0,41.0,60.0,60.0,24.0,44.0,60.0,,60.0,3.0,12.0,60.0,25.0,4.0,4.0,,1.0
DZaN3bNWfwcm__sNw5bvDg,38.0,22.0,37.0,60.0,12.0,42.0,26.0,,28.0,3.0,14.0,42.0,4.0,5.0,2.0,,
D_xGTuIZqh1g6ie9QybcYw,20.0,3.0,4.0,22.0,1.0,22.0,9.0,1.0,2.0,1.0,5.0,32.0,,1.0,2.0,,
D_yOtY3N32iXf9RqelHVlw,8.0,2.0,10.0,3.0,,10.0,1.0,1.0,1.0,,1.0,3.0,,,1.0,,
D_zJLFgHIYSq0o5QtNJBCA,23.0,13.0,23.0,33.0,,24.0,11.0,3.0,5.0,,,12.0,2.0,,4.0,,2.0
DbgNpmzjkU_l56a0uumw8Q,2.0,,3.0,,,9.0,2.0,,,,,1.0,1.0,,1.0,,
DeiVNRCo4kw5XUsHbXFkUg,60.0,60.0,60.0,60.0,14.0,44.0,60.0,1.0,43.0,7.0,6.0,60.0,13.0,2.0,2.0,,
DfRLoxg_NtBebg4jU0HY0w,13.0,7.0,5.0,12.0,1.0,6.0,2.0,3.0,6.0,1.0,,5.0,,,,,1.0
DfXh4GIeGyYGz2o3NmhorQ,60.0,32.0,60.0,60.0,28.0,35.0,60.0,1.0,60.0,5.0,8.0,60.0,11.0,3.0,7.0,,
DfYamqDQNS1RnzeWjOcGPg,13.0,7.0,4.0,10.0,1.0,6.0,,,3.0,2.0,,2.0,2.0,,,,
DhBhEWMVLDxYF14a1znUvA,30.0,9.0,57.0,34.0,4.0,45.0,29.0,2.0,8.0,,3.0,21.0,1.0,3.0,6.0,1.0,
Di9XbGyUWTqNYuF3-twRlA,41.0,7.0,17.0,46.0,,22.0,13.0,4.0,8.0,,2.0,22.0,1.0,3.0,2.0,,
DijUyfUGs6WoN4dp0_OANQ,60.0,27.0,60.0,60.0,25.0,32.0,60.0,1.0,60.0,6.0,10.0,60.0,10.0,3.0,8.0,,2.0
DoSU8IPq-Py_YV3kYmXPfQ,60.0,45.0,60.0,42.0,8.0,49.0,60.0,,21.0,25.0,16.0,60.0,25.0,8.0,2.0,,
DtnlLLvcqeEUIyZTypHnzw,44.0,14.0,60.0,60.0,11.0,29.0,60.0,,27.0,5.0,10.0,60.0,4.0,2.0,4.0,,1.0
DzlCEhXW6OadK6ETcmJpwQ,25.0,5.0,12.0,35.0,,39.0,16.0,,7.0,1.0,,27.0,1.0,2.0,3.0,,
E1RvMNZ4re4TnKarjx14Zw,60.0,17.0,60.0,60.0,8.0,47.0,60.0,1.0,33.0,6.0,14.0,60.0,8.0,3.0,8.0,,
EAonyboedxDjYIi5_VL53A,10.0,4.0,34.0,16.0,3.0,28.0,15.0,,8.0,2.0,1.0,29.0,2.0,4.0,3.0,,
EBK0OkVMBg_n_KxAU_4DZg,47.0,11.0,60.0,60.0,15.0,44.0,60.0,,51.0,5.0,23.0,60.0,6.0,3.0,4.0,,
EEU84mvawQBokO82L9ekdg,4.0,,10.0,8.0,1.0,11.0,2.0,1.0,3.0,,2.0,3.0,2.0,,,,
EEYLyO-mcKFU1ZgfutzOow,7.0,1.0,3.0,4.0,,15.0,2.0,2.0,1.0,,,3.0,,,,,
EFihj7vsRRXiF5la-UURyw,56.0,35.0,34.0,60.0,10.0,22.0,60.0,,8.0,3.0,9.0,60.0,18.0,4.0,11.0,,
EG_PMNKRTZhh2NzGAMk9xg,12.0,4.0,24.0,21.0,1.0,31.0,13.0,,6.0,,,42.0,1.0,3.0,,,
EKakzNWjXtZWeI4jqKO3xg,17.0,3.0,8.0,8.0,,28.0,5.0,4.0,3.0,,1.0,7.0,1.0,1.0,,,
EP1pbwXr37yHzc8OzWPEFg,22.0,3.0,13.0,15.0,,11.0,2.0,4.0,1.0,,,8.0,,,,,
ESpIimUxHNF1fFuGBdVwCg,60.0,41.0,60.0,60.0,27.0,46.0,60.0,,60.0,3.0,13.0,60.0,26.0,4.0,4.0,,1.0
ETgJqJHV7BW6pIr9Ox74sA,58.0,18.0,60.0,60.0,14.0,26.0,60.0,,35.0,7.0,7.0,60.0,5.0,4.0,3.0,,1.0
EU47dsc_vvByG3qPIMyRog,11.0,2.0,24.0,18.0,1.0,26.0,11.0,6.0,9.0,,2.0,13.0,,1.0,3.0,,
E_gRxGGObxmQQ3tu9VfVcg,39.0,15.0,31.0,60.0,4.0,21.0,13.0,1.0,13.0,1.0,,14.0,5.0,,3.0,,
EaAAP-gDALDL7GxcseMjBQ,60.0,60.0,60.0,60.0,15.0,60.0,60.0,1.0,50.0,7.0,10.0,50.0,18.0,3.0,2.0,,
EeS6StfQkJMSzi2RDHvRug,5.0,,,1.0,,10.0,1.0,5.0,,,,2.0,,,3.0,,
EegEULbC3qoMA-FaEjivtA,13.0,5.0,60.0,16.0,5.0,19.0,25.0,1.0,11.0,,4.0,24.0,,1.0,1.0,,
EfzYyKP2Svp_AY7pSloY7A,5.0,,3.0,3.0,,,,6.0,,,,1.0,,,,,
EkueKakBOazLteBREvD_qA,33.0,13.0,40.0,60.0,5.0,37.0,31.0,,49.0,4.0,5.0,60.0,2.0,2.0,4.0,,
El_2Cxuq4hxqrmlg_5nzzA,15.0,5.0,9.0,6.0,,26.0,10.0,,4.0,1.0,2.0,8.0,,,1.0,,1.0
EmN6j5PKKUL7DkXnM267aQ,8.0,7.0,2.0,5.0,,7.0,2.0,,3.0,,,7.0,,,,,
EsF2snil1ysNFXmxz2zTWA,4.0,1.0,,5.0,,6.0,1.0,2.0,5.0,,,1.0,,,,,
EsHcyOLHaK76bQuU7bwiTw,15.0,4.0,21.0,36.0,1.0,37.0,18.0,2.0,1.0,,1.0,27.0,,1.0,6.0,,
