yelp_id,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,taxi_stand,train_station
1k6hSTQO9E4iSzwyx8yTUw,12.0,,11.0,25.0,1.0,8.0,7.0,,6.0,,1.0,8.0,,,,,
1nV2NBbRXiWYqjSNcSsYWA,20.0,4.0,17.0,38.0,,25.0,14.0,1.0,15.0,,1.0,10.0,10.0,,2.0,,
1pDNPcDNYi422kIG68joAg,12.0,2.0,6.0,49.0,,11.0,12.0,4.0,10.0,,1.0,14.0,6.0,,1.0,,
1tT_giVnq5DBNwG7Xv-8JQ,7.0,1.0,9.0,,,33.0,7.0,,1.0,,1.0,,2.0,,,,
1tjw6RkaWmN9zz6ESb7sGQ,17.0,18.0,24.0,43.0,1.0,24.0,33.0,4.0,8.0,,,43.0,9.0,,1.0,,
1toW0p9uJQMEayWlUDz4WQ,19.0,12.0,30.0,14.0,,26.0,10.0,2.0,11.0,2.0,4.0,6.0,1.0,,1.0,,
1u3ofhqf9zD4T6fTL7UGfg,8.0,1.0,,21.0,1.0,19.0,3.0,3.0,1.0,,,7.0,2.0,,,,
1vKk83e8-mF_K7jcsEc_tw,4.0,2.0,3.0,26.0,5.0,5.0,5.0,,1.0,,1.0,5.0,,,,,
1yR6FZ1W0xttVkSqSKy40Q,13.0,3.0,12.0,60.0,3.0,15.0,10.0,2.0,11.0,,,12.0,2.0,,,,
24Td90wQFZYGTEM9gJIvDg,6.0,2.0,1.0,20.0,4.0,7.0,2.0,3.0,2.0,,,6.0,,,1.0,,
25fipMHUHLZTq0sVQINi5g,3.0,,,2.0,,4.0,1.0,1.0,1.0,1.0,,6.0,1.0,,,,
2DMZzDyhMjE6T1Oha_nGYg,1.0,,,6.0,,4.0,,2.0,,,,,,,1.0,,
2FwORcXNSGjJGBKb4unYVA,30.0,14.0,34.0,52.0,5.0,32.0,28.0,,24.0,5.0,2.0,10.0,12.0,,,,
2I8dmfO5eI1uEdG2KdQ6QA,2.0,,8.0,16.0,,4.0,,,11.0,,,5.0,,,,,
2IENILP6QSMpvEsFHF-vDQ,5.0,,2.0,6.0,,16.0,3.0,2.0,1.0,,,5.0,,,,,
2M00ZcU0C31FIvgHQuGytA,9.0,2.0,5.0,35.0,3.0,7.0,5.0,1.0,6.0,1.0,,13.0,,,1.0,,
2McxFTCG5bZD-VYHAJ3AvQ,19.0,7.0,18.0,53.0,,11.0,11.0,1.0,16.0,,1.0,8.0,2.0,,,,
2OPF3gO2OQfCR8-r8UTozw,22.0,13.0,13.0,32.0,2.0,26.0,24.0,2.0,9.0,7.0,3.0,18.0,2.0,,3.0,,
2OXJUpu3tZPrpiuSVXeBqw,2.0,1.0,2.0,2.0,1.0,,1.0,,1.0,,,,1.0,,,,
2Sciz6if8Z8nj-tLOXpaXw,5.0,1.0,16.0,3.0,,6.0,4.0,,,,,,1.0,,,,
