yelp_id,atm,bank,bar,beauty_salon,book_store,bus_station,cafe,gas_station,gym,movie_theater,museum,school,shopping_mall,subway_station,supermarket,train_station
9qCjkJvgnpzOjKLodDEMxw,16.0,10.0,14.0,10.0,4.0,25.0,13.0,,10.0,,,25.0,,1.0,1.0,
AG1ETqbneinRRJUeA8PfSA,28.0,16.0,44.0,37.0,2.0,25.0,30.0,,20.0,3.0,3.0,37.0,4.0,2.0,,
AGR_kBvN__I7aTl0rBywAg,43.0,23.0,39.0,60.0,5.0,16.0,43.0,,23.0,1.0,6.0,34.0,14.0,1.0,1.0,1.0
B0ZTztL-vjgm2Tc1ZxSbHg,6.0,1.0,3.0,1.0,,17.0,3.0,2.0,4.0,,,1.0,2.0,,,
BJXadWOLyGXzly7Iqx4W_g,7.0,3.0,2.0,5.0,,13.0,3.0,2.0,1.0,,,8.0,,,,
C7FKNwSUlbUinT9cRSLXHA,12.0,5.0,17.0,5.0,2.0,23.0,13.0,1.0,10.0,1.0,1.0,20.0,1.0,,,
CB0KEBdcItjSDMOkcv7QtA,11.0,5.0,8.0,15.0,,2.0,9.0,,6.0,,9.0,9.0,1.0,1.0,,
CRV5pbiOC_EXCqQrRZ98BA,11.0,3.0,1.0,15.0,,24.0,8.0,4.0,2.0,,,7.0,,1.0,2.0,
CWqL2TEq_V9tipCj-X-GoQ,60.0,51.0,60.0,28.0,3.0,21.0,45.0,1.0,15.0,2.0,12.0,13.0,8.0,2.0,,
CmdVh1cYn536aa_1gjABDA,5.0,2.0,1.0,9.0,,17.0,2.0,,1.0,,,1.0,1.0,,2.0,
DImi8qeCP-OUaLA8L2QR6A,41.0,22.0,40.0,46.0,6.0,23.0,58.0,1.0,15.0,3.0,3.0,35.0,5.0,3.0,3.0,1.0
DkuCJwpeiGhW41EEcOKweg,12.0,4.0,10.0,15.0,,,8.0,,5.0,,3.0,8.0,2.0,1.0,1.0,
DrQgIMe9fKfNvvHoXO8Y0w,5.0,1.0,2.0,5.0,1.0,15.0,3.0,5.0,6.0,,,6.0,,,,
E2De90kZUtXIS2dy-vn1yg,13.0,2.0,23.0,28.0,5.0,14.0,20.0,,12.0,1.0,1.0,27.0,5.0,,1.0,
E6nIsqfg-1Qsp94wkDHzsg,3.0,1.0,9.0,3.0,,5.0,6.0,,6.0,1.0,,1.0,5.0,1.0,1.0,
EYMC8NHn6U-4WpLo54dQtw,15.0,8.0,20.0,18.0,1.0,25.0,18.0,,7.0,,5.0,11.0,6.0,1.0,2.0,1.0
FioFvBhgVPV2dZW3mxjxQQ,11.0,1.0,12.0,14.0,,16.0,10.0,1.0,10.0,,,14.0,,,1.0,
FmAIHFqUBNkCw3YBCRQLmQ,19.0,11.0,15.0,19.0,2.0,24.0,10.0,1.0,5.0,2.0,1.0,10.0,1.0,1.0,1.0,
G2qQ72XEMVW4A9SNDHGwOg,16.0,8.0,24.0,22.0,3.0,29.0,9.0,,6.0,1.0,,16.0,1.0,1.0,3.0,1.0
GLP0_Rs2y4Q0Gxk7r1dddQ,17.0,10.0,19.0,9.0,5.0,24.0,15.0,1.0,9.0,1.0,1.0,22.0,1.0,1.0,1.0,
GwwX5JjuOVpw0ZlBvCqEOg,17.0,9.0,27.0,16.0,5.0,31.0,10.0,1.0,8.0,1.0,3.0,19.0,2.0,,3.0,
HAF1_8TLXzea-2aXidpKNQ,10.0,4.0,6.0,11.0,3.0,18.0,5.0,3.0,6.0,,4.0,11.0,,,2.0,
HU2iYyCPkmP1gxuKYoiKNg,13.0,4.0,5.0,12.0,5.0,18.0,8.0,3.0,7.0,,1.0,16.0,2.0,1.0,,1.0
Hnx34LxtfW4XV0gZ18zMBg,43.0,17.0,60.0,30.0,3.0,15.0,36.0,1.0,13.0,,9.0,16.0,7.0,2.0,1.0,
HxegWRjhi7m73mXRI8qQIg,17.0,10.0,18.0,9.0,5.0,29.0,14.0,1.0,10.0,,1.0,23.0,1.0,1.0,1.0,
I07zWZ_JGqVAp3ZPxIpDYg,38.0,15.0,31.0,48.0,7.0,16.0,43.0,,19.0,1.0,5.0,31.0,9.0,,2.0,
IFamp2iDylLbgkxN8WaG0A,18.0,10.0,5.0,32.0,2.0,9.0,8.0,3.0,5.0,,,5.0,1.0,,,1.0
IGbKO5xKMZrTsPtmDYaLwQ,23.0,7.0,2.0,13.0,1.0,18.0,3.0,3.0,5.0,,1.0,6.0,1.0,,,
J1uidHIL7nE_noUuvFXj0A,55.0,27.0,31.0,22.0,5.0,12.0,40.0,,16.0,,11.0,40.0,4.0,3.0,1.0,
J4UsOYwRprbJXIVB_NcldQ,34.0,12.0,57.0,27.0,3.0,17.0,29.0,1.0,13.0,,6.0,13.0,4.0,1.0,1.0,
JHYOusJBXe4wW33oJoEtzw,15.0,5.0,11.0,28.0,3.0,20.0,3.0,1.0,10.0,1.0,3.0,8.0,1.0,,2.0,1.0
JIBJ_1aH_gHgbLnAIX5hEw,33.0,16.0,40.0,60.0,6.0,14.0,46.0,,19.0,1.0,7.0,29.0,13.0,,1.0,
JZPPsLYmLCc9uwuolor7cQ,4.0,1.0,4.0,6.0,3.0,4.0,4.0,1.0,2.0,,1.0,20.0,,,,
JdVlUaXM9aZQ68tjgonszw,35.0,12.0,60.0,29.0,3.0,17.0,34.0,,15.0,,8.0,13.0,7.0,1.0,1.0,
JzW-uJwi7cGd0c_VS8wvBQ,33.0,12.0,60.0,29.0,3.0,16.0,31.0,1.0,14.0,,9.0,13.0,7.0,1.0,1.0,
KENZN5yZDjVQtKzwJ5gD6Q,15.0,3.0,20.0,3.0,2.0,17.0,14.0,2.0,3.0,1.0,,11.0,,,,1.0
KjmdwtRacEv1c0_w3Nmsdg,8.0,4.0,2.0,31.0,2.0,4.0,6.0,2.0,6.0,,1.0,16.0,3.0,,,1.0
KwL8wWNuUHoplvn8ff97bg,39.0,19.0,48.0,49.0,7.0,20.0,57.0,1.0,11.0,3.0,4.0,42.0,8.0,4.0,3.0,
Kx3hGswNK6iuMb53KUcsvg,2.0,,2.0,3.0,1.0,21.0,4.0,2.0,2.0,,1.0,7.0,,,,
LGNpVs8cRBllNVml8wI0Vg,43.0,17.0,60.0,27.0,3.0,15.0,34.0,1.0,11.0,,9.0,15.0,7.0,2.0,1.0,
M0Z57IL0dlzpU6QCez0wGA,35.0,12.0,60.0,23.0,3.0,12.0,26.0,1.0,10.0,,9.0,12.0,7.0,2.0,1.0,
Mgkv-Kr_tcANDPYnV4PqQw,34.0,12.0,60.0,29.0,3.0,17.0,33.0,1.0,14.0,,8.0,13.0,7.0,1.0,1.0,
Mj9P_ON9YPDmFV4GJXYYYA,2.0,2.0,5.0,6.0,,2.0,2.0,,7.0,1.0,,,4.0,,1.0,
MjpH-uP90jTUp_KqAOiBJg,10.0,7.0,17.0,17.0,3.0,34.0,9.0,,9.0,,1.0,22.0,1.0,,3.0,
NYa-JphaaB41ElGsb3iawA,13.0,3.0,5.0,11.0,,38.0,8.0,1.0,7.0,,,17.0,1.0,,2.0,
NsE1oIckP5CcmezF2UzMag,3.0,1.0,1.0,5.0,,17.0,1.0,,,,1.0,1.0,,1.0,,
OFHWBXs5-UyEYf0-MrFDUw,25.0,8.0,49.0,16.0,2.0,8.0,22.0,,6.0,1.0,4.0,11.0,8.0,1.0,,
OP0xCQM6ih4VEhl2t39Z-g,7.0,,3.0,11.0,,20.0,,2.0,,,,10.0,1.0,1.0,2.0,
Of0s9Bp9sxRIrfS6_WsuXw,6.0,,,5.0,1.0,14.0,1.0,,,,1.0,5.0,1.0,,,
OkWWg21Tln2nd7wBgURtJQ,60.0,56.0,60.0,32.0,6.0,20.0,59.0,1.0,17.0,2.0,14.0,33.0,10.0,4.0,1.0,
OwpCK2Krj4qxvsA5672HOQ,7.0,4.0,2.0,24.0,2.0,21.0,3.0,,3.0,,,6.0,,,,2.0
P1LZAzIiVCd0AuJ3rmjDMQ,60.0,60.0,60.0,37.0,6.0,24.0,60.0,2.0,22.0,2.0,13.0,34.0,9.0,2.0,1.0,
PAdsmCb-T8yzrLf137yCVg,60.0,60.0,60.0,21.0,3.0,19.0,45.0,1.0,14.0,2.0,5.0,17.0,8.0,2.0,,
PBt_sana68L9ZjgQzeJ7zw,39.0,17.0,60.0,31.0,3.0,16.0,35.0,,13.0,,9.0,16.0,7.0,1.0,1.0,
PMnU-trprMtR9p3V_9uXLw,5.0,,29.0,11.0,1.0,13.0,8.0,,4.0,,1.0,3.0,3.0,,,
PSp0P_3zWIQabA5HAIJBMQ,28.0,10.0,22.0,28.0,6.0,18.0,38.0,,14.0,1.0,5.0,31.0,7.0,,2.0,
PUZSvR-nEHlhEi0gSADu7w,40.0,21.0,39.0,60.0,5.0,14.0,39.0,,24.0,1.0,6.0,33.0,15.0,,1.0,
Pm-PU6CldkzBm4ci4r66LQ,52.0,30.0,59.0,24.0,3.0,8.0,32.0,,9.0,1.0,7.0,15.0,8.0,1.0,,
PsUYM5VJ4rSKCsOYyrWxbQ,,1.0,1.0,2.0,,4.0,1.0,,11.0,,,2.0,,,,
PygaMm6O5n1UDHrbnm7uBg,7.0,1.0,8.0,28.0,,23.0,13.0,4.0,2.0,,4.0,17.0,,1.0,3.0,
QXdEeuL4cA_KcGMrh5o5rA,18.0,3.0,13.0,19.0,,16.0,9.0,1.0,11.0,,,13.0,,,2.0,
QaKYHTjR7ZygxaFUskdMEA,6.0,1.0,3.0,6.0,1.0,17.0,2.0,3.0,2.0,,,12.0,,,,
QhhOFdwFrgHFjrUYlI67IA,2.0,1.0,2.0,1.0,,10.0,2.0,2.0,2.0,,,7.0,,,,
QvCYvbMNkRTe4UqVwmyb3w,7.0,2.0,5.0,9.0,2.0,13.0,1.0,3.0,1.0,,,8.0,,,1.0,
R7peDyHzKTGilwo_1fjt3g,19.0,4.0,12.0,8.0,5.0,18.0,24.0,2.0,10.0,,3.0,30.0,3.0,,1.0,
REmBxSRBi_FDgwsTnjl3hA,13.0,3.0,13.0,1.0,,9.0,6.0,,1.0,,2.0,2.0,,,,
RF2YhEH__pDNKAhMwZmCUA,60.0,60.0,60.0,35.0,7.0,23.0,60.0,1.0,22.0,2.0,15.0,36.0,10.0,4.0,1.0,
RNqUyblZzXvg0a2fBjJQQg,38.0,18.0,47.0,49.0,7.0,20.0,54.0,1.0,9.0,3.0,4.0,39.0,8.0,4.0,3.0,
RQUZgVKcgenO-FjTg0j80A,60.0,38.0,38.0,25.0,7.0,17.0,53.0,1.0,17.0,,13.0,45.0,7.0,5.0,2.0,
Rr7rhulFCpGvO341g-EWVg,44.0,24.0,34.0,60.0,3.0,18.0,33.0,,21.0,,7.0,24.0,10.0,1.0,,1.0
Ruq91rmQNweZ78TzKylQMg,60.0,41.0,60.0,32.0,6.0,23.0,55.0,1.0,17.0,,14.0,39.0,9.0,5.0,1.0,
SNJhevBiD7xFvxiEJywMxw,24.0,6.0,34.0,14.0,2.0,21.0,21.0,2.0,6.0,1.0,1.0,23.0,,,,1.0
SvMVqEWYJXPOr6vJlRYnrg,31.0,8.0,57.0,21.0,3.0,8.0,23.0,,7.0,1.0,6.0,11.0,6.0,1.0,,
T1wflZohQRZVb9SKQapfFA,15.0,4.0,15.0,1.0,,16.0,5.0,,2.0,,,3.0,,,,
T4nEmSQNeTKnNgcHpnvH0A,23.0,9.0,48.0,27.0,3.0,13.0,22.0,1.0,9.0,,6.0,11.0,5.0,1.0,1.0,
T8DpRFty13MXLf6MB43aLg,2.0,1.0,2.0,8.0,1.0,24.0,5.0,2.0,5.0,,,19.0,2.0,,1.0,
TbidSY0CNknTW1WEqK33WA,10.0,5.0,2.0,6.0,,17.0,1.0,3.0,2.0,,1.0,10.0,,,2.0,
TfSZgUu1Uxwcve7q1j5fLQ,10.0,2.0,13.0,7.0,,28.0,6.0,2.0,4.0,,,13.0,1.0,,,
U4ppRbaM8K12j3oOyirXXg,1.0,,1.0,3.0,1.0,10.0,3.0,4.0,1.0,,,5.0,,,,
UGJpzdTghcvMekA1ML0-kA,8.0,4.0,9.0,7.0,,13.0,6.0,1.0,3.0,,3.0,12.0,1.0,,1.0,
UHSgwkHN_4IxeHa3pcb5Pg,60.0,60.0,45.0,23.0,3.0,28.0,55.0,1.0,18.0,2.0,7.0,14.0,4.0,1.0,,1.0
UYEP_G4fYVxasowdgd5Icg,15.0,4.0,16.0,1.0,,17.0,6.0,,2.0,,,4.0,,,,
Ug6ngfzLT_cPzSttve1OzQ,38.0,17.0,39.0,60.0,6.0,14.0,43.0,,20.0,1.0,6.0,30.0,14.0,,1.0,
UtS03G9OuSNuEtm-lHcf7w,3.0,,6.0,12.0,,16.0,9.0,1.0,9.0,,1.0,26.0,,,1.0,
V5r0E89VSK0IDzZRvrhc3g,38.0,16.0,38.0,60.0,6.0,13.0,50.0,,17.0,1.0,9.0,22.0,14.0,,2.0,
V8_e5MRjfexH4WFBqjDWCg,60.0,60.0,44.0,36.0,7.0,27.0,60.0,2.0,23.0,1.0,14.0,53.0,7.0,5.0,1.0,
VDmV3tPEQqFxzqQJRJazNw,55.0,33.0,60.0,27.0,3.0,9.0,32.0,,8.0,1.0,6.0,13.0,8.0,1.0,,
VH0Ib9S3E-dxbQdQC4rffg,44.0,28.0,40.0,60.0,3.0,30.0,24.0,,33.0,1.0,2.0,30.0,12.0,1.0,,1.0
Vco3twYE0sD4kb0O1_PLoQ,12.0,4.0,4.0,6.0,,4.0,4.0,2.0,3.0,,1.0,4.0,,,,
VlXOIzTFaEwF--oPFzfDkA,12.0,2.0,8.0,6.0,,11.0,7.0,1.0,7.0,1.0,,3.0,5.0,,1.0,
VnuD2cojPTWd3nIHQjnL8w,16.0,4.0,27.0,6.0,3.0,14.0,8.0,2.0,8.0,,1.0,24.0,,,,1.0
W2YNtO5W_ZK6o-1t8uLcYw,25.0,9.0,44.0,40.0,4.0,21.0,35.0,,7.0,3.0,4.0,44.0,4.0,2.0,2.0,
WGPQZMXwhFPgN6D_fk8t4Q,12.0,6.0,2.0,13.0,,21.0,5.0,,2.0,,,6.0,1.0,,2.0,
WLYDPoWGriHWtf4BmRVx2Q,16.0,5.0,2.0,12.0,,23.0,4.0,2.0,1.0,,1.0,11.0,,,,
WRv36_xwynru5AFVEyCOkw,,,1.0,,,,1.0,,,,,,,,,
WkjIWu8rIpAAUhnqsuik9w,4.0,2.0,2.0,6.0,,9.0,1.0,2.0,1.0,,,8.0,,,,
X0-4QinxqDweGOWMKsb9bA,6.0,2.0,12.0,22.0,3.0,19.0,4.0,1.0,4.0,1.0,3.0,9.0,1.0,,2.0,1.0
XDe1BMq0C7ljuW3a6WoAwg,2.0,2.0,5.0,5.0,,2.0,2.0,,6.0,1.0,,,4.0,,1.0,
XUepp8T9xSMBuvlEG_-DrQ,38.0,16.0,36.0,57.0,7.0,16.0,42.0,,19.0,1.0,3.0,29.0,9.0,,2.0,
XWF0qtV3GxkgfdvAjwpfzQ,40.0,26.0,32.0,60.0,3.0,17.0,32.0,,33.0,,3.0,31.0,11.0,1.0,,1.0
XgJWwSXomuSblxFBE-AxpA,14.0,4.0,17.0,25.0,1.0,27.0,15.0,4.0,5.0,,6.0,16.0,4.0,1.0,2.0,
YFkrZhuA1phCiJB1EJV39w,18.0,10.0,19.0,9.0,5.0,24.0,16.0,1.0,9.0,1.0,1.0,22.0,1.0,1.0,1.0,
YJJEptfpcPLsDY3zPCjpLg,2.0,1.0,3.0,2.0,,,,2.0,2.0,1.0,,,,,,
YYWfxVRa9v-48Lehza2RYQ,15.0,8.0,2.0,11.0,,2.0,3.0,5.0,9.0,,,7.0,1.0,,2.0,
YwtjSs7ul_6RX1WnWglxIA,2.0,1.0,9.0,2.0,,4.0,6.0,,6.0,1.0,,1.0,5.0,1.0,1.0,
Z0K_lNlqzz-aUDbvexpD5A,5.0,3.0,,13.0,,16.0,1.0,1.0,1.0,,,1.0,,,,
ZAV8c9iGKV8zWHxOpTxdYQ,32.0,16.0,41.0,60.0,6.0,15.0,44.0,,19.0,1.0,2.0,30.0,9.0,,1.0,
