,Zipcode,Zip code population in 2016,White population,Black population,American Indian population,Asian population,Native Hawaiian and Other Pacific Islander population,Some other race population,Two or more races population,Hispanic or Latino population,High school or higher,Bachelor's degree or higher,Graduate or professional degree,Unemployed,Mean travel time to work (commute),Never married,Now married,Separated,Widowed,Divorced
255,94124,35954,1944,11170,99,10329,875,53,1045,8481,75.0%,,6.6%,9.2%,33.7 minutes,43.6%,41.8%,1.9%,5.0%,7.7%
256,94127,20960,10640,622,24,5341,26,84,841,1711,98.1%,,31.2%,3.4%,32.1 minutes,27.9%,58.1%,0.9%,5.6%,7.4%
257,94131,28756,16144,1186,61,4910,47,84,1060,3389,98.3%,,35.7%,3.4%,36.4 minutes,44.5%,41.2%,0.8%,4.5%,8.9%
258,94132,31737,9770,2348,67,11367,85,100,1122,3270,90.8%,,18.5%,9.2%,33.7 minutes,52.4%,35.7%,0.9%,4.5%,6.5%
259,94133,27885,10201,553,20,13530,41,48,534,1310,75.8%,,19.1%,4.7%,29.0 minutes,40.9%,42.5%,2.1%,7.3%,7.2%
260,94965,11388,8019,1070,21,663,29,48,303,694,97.0%,,32.0%,5.6%,31.0 minutes,31.4%,46.0%,1.2%,4.3%,17.2%
261,98001,32118,21132,1420,240,4240,422,45,1328,3084,92.0%,,6.1%,5.2%,32.7 minutes,31.7%,52.3%,1.1%,3.6%,11.3%
262,98002,34478,20270,1573,687,1365,774,28,1346,5604,81.8%,,3.3%,6.8%,31.2 minutes,33.9%,42.9%,2.5%,5.6%,15.2%
263,98003,48086,21905,4618,340,5535,1368,103,2218,8064,86.4%,,6.8%,5.3%,31.4 minutes,35.4%,44.2%,2.1%,6.0%,12.3%
264,98004,33599,19218,539,66,5926,35,84,868,1210,100.1%,,34.2%,4.2%,20.7 minutes,29.4%,56.3%,1.1%,4.2%,9.1%
265,98005,18318,10847,408,41,4552,20,62,571,1213,97.5%,,29.0%,4.1%,21.9 minutes,28.1%,56.7%,0.8%,3.4%,10.9%
266,98006,38361,21992,581,74,10932,77,94,1379,1235,97.9%,,28.8%,4.1%,26.6 minutes,25.8%,61.4%,0.6%,3.6%,8.5%
267,98027,29293,20944,291,107,2523,39,59,775,1403,96.7%,,21.7%,3.2%,28.6 minutes,26.7%,58.9%,0.6%,3.5%,10.3%
268,98031,37520,17665,3712,178,8293,604,67,1773,4289,87.5%,,7.8%,5.6%,32.0 minutes,33.9%,51.1%,1.7%,3.5%,9.8%
269,98032,36936,15506,3681,324,3918,990,88,1567,7779,82.4%,,6.6%,5.8%,34.0 minutes,39.1%,41.1%,2.5%,4.1%,13.3%
270,98033,38168,27131,439,100,3574,80,98,1249,1667,98.6%,,25.8%,3.8%,24.7 minutes,26.8%,56.8%,1.5%,3.3%,11.7%
271,98038,35433,26315,546,169,1170,97,56,1190,1628,97.5%,,11.7%,5.1%,37.5 minutes,22.0%,61.8%,1.0%,3.6%,11.6%
272,98040,24817,17255,282,40,3598,25,60,805,634,100.7%,,38.0%,3.5%,23.5 minutes,19.8%,64.8%,0.8%,6.5%,8.1%
273,98042,46517,32186,1660,290,3807,232,83,1910,3505,93.0%,,9.6%,3.9%,34.4 minutes,27.7%,56.8%,1.2%,3.6%,10.8%
274,98056,35644,17386,2282,141,6274,144,70,1451,4741,90.7%,,13.9%,4.3%,28.5 minutes,34.7%,47.7%,2.5%,3.1%,12.0%
275,98058,44374,25874,3227,180,6679,245,78,2112,3543,92.6%,,11.5%,3.7%,33.6 minutes,28.7%,55.6%,0.8%,4.6%,10.2%
276,98059,37750,21550,1080,168,6857,145,65,1378,3220,94.9%,,16.0%,4.1%,31.5 minutes,27.1%,58.7%,1.2%,3.6%,9.3%
277,98070,9985,9556,81,48,172,5,25,303,434,96.5%,,27.0%,3.6%,43.6 minutes,24.0%,52.8%,0.5%,9.1%,13.6%
278,98101,12216,7042,750,150,1265,31,35,353,612,98.4%,,25.8%,3.8%,23.0 minutes,49.4%,33.0%,1.3%,5.1%,11.2%
279,98102,24374,16417,513,96,1667,45,53,753,1212,100.3%,,31.5%,2.7%,25.0 minutes,57.2%,30.6%,0.9%,2.0%,9.2%
280,98103,50072,36709,1080,221,3426,70,132,1955,2318,99.9%,,30.9%,2.5%,26.8 minutes,48.1%,39.2%,0.7%,2.5%,9.4%
281,98104,14189,5843,2403,264,3154,34,54,394,949,83.3%,,13.8%,5.5%,24.5 minutes,54.2%,26.1%,1.6%,5.3%,12.7%
282,98105,47181,30188,889,156,8132,115,106,2260,2078,99.9%,,36.3%,7.5%,25.8 minutes,67.0%,25.6%,0.8%,1.5%,5.1%
283,98107,24525,17607,421,153,1018,46,47,812,1043,99.9%,,26.2%,3.5%,29.4 minutes,47.2%,37.4%,0.6%,3.5%,11.4%
